time,electricity-price,LNG-value
2020-09-01,16.17,6.91
2020-10-01,15.64,7.11
2020-11-01,14.38,7.86
2020-12-01,12.82,8.87
2021-01-01,12.7,10.27
2021-02-01,12.91,9.59
2021-03-01,12.99,9.82
2021-04-01,12.99,8.75
2021-05-01,13.69,8.12
2021-06-01,15.37,8.19
2021-07-01,17.01,8.74
2021-08-01,16.7,8.66
2021-09-01,16.81,9.01
2021-10-01,15.88,10.43
2021-11-01,14.51,11.46
2021-12-01,13.79,12.8
2022-01-01,13.58,14.32
2022-02-01,13.98,13.04
2022-03-01,14.95,12.93
2022-04-01,15.39,11.7
2022-05-01,16.07,12.27
2022-06-01,17.54,14.2
2022-07-01,19.79,13.37
2022-08-01,19.58,14.36
2022-09-01,19.3,14.61
2022-10-01,18.41,13.28
2022-11-01,16.64,13.61
2022-12-01,17.03,16.96
2023-01-01,16.52,21.38
2023-02-01,15.69,21.81
2023-03-01,16.94,15.86
2023-04-01,15.81,11.52
2023-05-01,17.7,9.21
2023-06-01,19.08,9.2
2023-07-01,20.66,9.57
2023-08-01,21.8,10.71
2023-09-01,20.41,10.4
2023-10-01,20.15,9.74
2023-11-01,18.33,12.52
2023-12-01,17.99,12.95
2024-01-01,17.95,13.29
2024-02-01,18.07,14.35
2024-03-01,18.96,13.19
2024-04-01,19.3,11.3
2024-05-01,21.23,9.11
2024-06-01,22.54,9.07
2024-07-01,26.12,9.87
